KK Ahmed, India, 4.50
JJ Bumrah, India, 3.80
YS Chahal, India, 7.80
DL Chahar, India, 12.00
S Dhawan, India, 44.50
MS Dhoni, India, 50.57
SS Iyer, India, 49.42
RA Jadeja, India, 30.84
KM Jadhav, India, 42.96
KD Karthik, India, 30.20
S Kaul, India, 0.50
V Kohli, India, 60.31
Kuldeep Yadav, India, 12.62
B Kumar, India, 14.21
Mohammed Shami, India, 7.55
MK Pandey, India, 36.66
HH Pandya, India, 29.90
RR Pant, India, 22.90
AR Patel, India, 12.92
AM Rahane, India, 35.26
KL Rahul, India, 39.11
SK Raina, India, 35.31
AT Rayudu, India, 47.05
V Shankar, India, 31.85
Shubman Gill, India, 8.00
SN Thakur, India, 22.00
UT Yadav, India, 7.90
